Variable,Value,units
K_w,1.0,-
Λ_LE,25.0,u.deg
n_ult,9.0,-
t_o_c,0.094,-
λ,0.4,-
A,5.5,-
S,438.76,ui.ft ** 2
W_TO,34790.0,ui.lbf
S_h,155.0,ui.ft ** 2
b_h,24.9,ui.ft
t_r_h,0.5,ui.ft
c_bar,10.35,ui.ft
l_h,22.48,ui.ft
z_h,0.0,-
M_H,0.95,-
A_v,5.0,-
S_v,40.24,ui.ft ** 2
l_v,20.69,ui.ft
S_r,20.0,ui.ft ** 2
λ_v,0.4,-
Λ_qtrchrd_v,10.0,u.deg
K_inl,1.25,-
l_f,49.0,ui.ft
h_f,7.0,ui.ft
N_inl,2.0,-
A_inl,6.2,ui.ft ** 2
l_n,10.0,ui.ft
P_2,30.0,(ui.lbf / ui.inch ** 2)
W_pwr,3750.0,-
W_F,17392.0,ui.lbf
K_fsp,6.55,(ui.lbf / ui.gallon)
N_pil,1.0,-
N_e,1.0,-
K_fcf,138.0,-
APU_est_factor,0.013,-
W_pay,12500.0,ui.lbf
PAINT_EST_FACTOR,0.006,-
,,
System,Weight [lbf],Location [% lf]
Fuel wing + drop tank,6400,0.52
Fuel fuselage,9000,0.49
Payload wing,4600,0.535
Gun,1084,0.11428571428571428
Pilot,250,0.15
Wing,3451,0.49
Powerplant,3200,0.85
Fuselage,1970.0088235708283,0.45
Landing Gear,1226.540580314273,0.4
Nacelle,756.0422224687626,0.5
FCS,1085.0858734303142,0.38
VT,266.5778667861423,0.85
HT,568.9464355395547,0.975
APU,452.27,0.3
Avionics,444.02052000000003,0.15
Fuel Systems,738.2806580832096,0.6
Elec. Systems,463.9817958304037,0.5
Paint,208.74,0.4
Man. Var.,48.980000000000004,0.5
Env Systems,146.18158038623605,0.3
Furnishings,93.5508175270815,0.2
O2 System,16.9,0.24
Result,Value,Units
CG,0.5147091789792679,% l_f
Optimal Wing Pos,0.49,%_f
Wing Weight,3451,lbf
Empty Weight,15137.107173936802,lbf
CG VT,0.85,% l_f
CG HT,0.975,% l_f
CG w/out HT,0.5074148875899689,% l_f
Weight w/out HT,35902.16073839725,lbf
FDGW,21071.107173936805,lbf
W_T,36471.107173936805,lbf
